XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
42737,2017-01-02,1012.35,952.01,
42738,2017-01-03,1024.38,1012.35,
42739,2017-01-04,1091.66,1024.38,
42740,2017-01-05,971.26,1091.66,
42741,2017-01-06,898.16,971.26,
42743,2017-01-08,917.41,#N/A N/A,
42744,2017-01-09,897.51,898.16,
42745,2017-01-10,909.81,897.51,
42746,2017-01-11,789.11,909.81,
42747,2017-01-12,827.63,789.11,
42748,2017-01-13,830.7,827.63,
42750,2017-01-15,822.2,#N/A N/A,
42751,2017-01-16,833.1,830.7,
42752,2017-01-17,898.92,833.1,
42753,2017-01-18,875.76,898.92,
42754,2017-01-19,907.31,875.76,
42755,2017-01-20,898.86,907.31,
42757,2017-01-22,920.85,#N/A N/A,
42758,2017-01-23,921.64,898.86,
42759,2017-01-24,898.19,921.64,
42760,2017-01-25,895.34,898.19,
42761,2017-01-26,914.19,895.34,
42762,2017-01-27,919.95,914.19,
42764,2017-01-29,917.01,#N/A N/A,
42765,2017-01-30,922.79,919.95,
42766,2017-01-31,961.69,922.79,
42767,2017-02-01,979.37,961.69,
42768,2017-02-02,1010.14,979.37,
42769,2017-02-03,1011.67,1010.14,
42771,2017-02-05,1013.48,#N/A N/A,
42772,2017-02-06,1025.29,1011.67,
42773,2017-02-07,1052.19,1025.29,
42774,2017-02-08,1060.55,1052.19,
42775,2017-02-09,977.4,1060.55,
42776,2017-02-10,1004.03,977.4,
42778,2017-02-12,1002.11,#N/A N/A,
42779,2017-02-13,1002.4,1004.03,
42780,2017-02-14,1011.27,1002.4,
42781,2017-02-15,1015.44,1011.27,
42782,2017-02-16,1038.54,1015.44,
42783,2017-02-17,1058.86,1038.54,
42785,2017-02-19,1055.12,#N/A N/A,
42786,2017-02-20,1064.11,1058.86,
42787,2017-02-21,1115.67,1064.11,
42788,2017-02-22,1129.3,1115.67,
42789,2017-02-23,1164.1,1129.3,
42790,2017-02-24,1177.28,1164.1,
42792,2017-02-26,1177.78,#N/A N/A,
42793,2017-02-27,1194.26,1177.28,
42794,2017-02-28,1192.7,1194.26,
42795,2017-03-01,1225.32,1192.7,
42796,2017-03-02,1257.94,1225.32,
42797,2017-03-03,1277.39,1257.94,
42799,2017-03-05,1277.57,#N/A N/A,
42800,2017-03-06,1277.65,1277.39,
42801,2017-03-07,1245,1277.65,
42802,2017-03-08,1165.19,1245,
42803,2017-03-09,1199.86,1165.19,
42804,2017-03-10,1100.56,1199.86,
42806,2017-03-12,1223.39,#N/A N/A,
42807,2017-03-13,1237.5,1100.56,
42808,2017-03-14,1253.21,1237.5,
42809,2017-03-15,1251.57,1253.21,
42810,2017-03-16,1148.5,1251.57,
42811,2017-03-17,1096.91,1148.5,
42813,2017-03-19,1039.64,#N/A N/A,
42814,2017-03-20,1023.8,1096.91,
42815,2017-03-21,1092.56,1023.8,
42816,2017-03-22,1009.31,1092.56,
42817,2017-03-23,1038.9,1009.31,
42818,2017-03-24,960.74,1038.9,
42820,2017-03-26,974.59,#N/A N/A,
42821,2017-03-27,1023.73,960.74,
42822,2017-03-28,1030.17,1023.73,
42823,2017-03-29,1039.32,1030.17,
42824,2017-03-30,1035.44,1039.32,
42825,2017-03-31,1074.69,1035.44,
42827,2017-04-02,1109.08,#N/A N/A,
42828,2017-04-03,1153.83,1074.69,
42829,2017-04-04,1138.86,1153.83,
42830,2017-04-05,1128.13,1138.86,
42831,2017-04-06,1199.17,1128.13,
42832,2017-04-07,1199.24,1199.17,
42834,2017-04-09,1210.11,#N/A N/A,
42835,2017-04-10,1203.1,1199.24,
42836,2017-04-11,1226.7,1203.1,
42837,2017-04-12,1216.07,1226.7,
42838,2017-04-13,1170.01,1216.07,
42839,2017-04-14,1183.59,1170.01,
42841,2017-04-16,1180.36,#N/A N/A,
42842,2017-04-17,1193.94,1183.59,
42843,2017-04-18,1204.67,1193.94,
42844,2017-04-19,1206.45,1204.67,
42845,2017-04-20,1240.02,1206.45,
42846,2017-04-21,1242.73,1240.02,
42848,2017-04-23,1245.74,#N/A N/A,
42849,2017-04-24,1255.91,1242.73,
42850,2017-04-25,1281.47,1255.91,
42851,2017-04-26,1294.3,1281.47,
42852,2017-04-27,1347.91,1294.3,
42853,2017-04-28,1304.91,1347.91,
42855,2017-04-30,1356.03,#N/A N/A,
42856,2017-05-01,1435.89,1304.91,
42857,2017-05-02,1439.45,1435.89,
42858,2017-05-03,1516.69,1439.45,
42859,2017-05-04,1502.29,1516.69,
42860,2017-05-05,1529.41,1502.29,
42862,2017-05-07,1556.06,#N/A N/A,
42863,2017-05-08,1657.55,1529.41,
42864,2017-05-09,1712.16,1657.55,
42865,2017-05-10,1776.34,1712.16,
42866,2017-05-11,1820.84,1776.34,
42867,2017-05-12,1691.8,1820.84,
42869,2017-05-14,1790.31,#N/A N/A,
42870,2017-05-15,1719.63,1691.8,
42871,2017-05-16,1769.41,1719.63,
42872,2017-05-17,1816.73,1769.41,
42873,2017-05-18,1883.04,1816.73,
42874,2017-05-19,1938.04,1883.04,
42876,2017-05-21,2011.23,#N/A N/A,
42877,2017-05-22,2149.63,1938.04,
42878,2017-05-23,2216.18,2149.63,
42879,2017-05-24,2435.88,2216.18,
42880,2017-05-25,2465.54,2435.88,
42881,2017-05-26,2268.7,2465.54,
42883,2017-05-28,2118.76,#N/A N/A,
42884,2017-05-29,2306.61,2268.7,
42885,2017-05-30,2249.94,2306.61,
42886,2017-05-31,2286.1,2249.94,
42887,2017-06-01,2410.55,2286.1,
42888,2017-06-02,2430.83,2410.55,
42890,2017-06-04,2504.5,#N/A N/A,
42891,2017-06-05,2663.5,2430.83,
42892,2017-06-06,2871.13,2663.5,
42893,2017-06-07,2738.88,2871.13,
42894,2017-06-08,2749.46,2738.88,
42895,2017-06-09,2834.48,2749.46,
42897,2017-06-11,2922.82,#N/A N/A,
42898,2017-06-12,2599.16,2834.48,
42899,2017-06-13,2701.55,2599.16,
42900,2017-06-14,2552.48,2701.55,
42901,2017-06-15,2361.34,2552.48,
42902,2017-06-16,2484.65,2361.34,
42904,2017-06-18,2471.55,#N/A N/A,
42905,2017-06-19,2573.17,2484.65,
42906,2017-06-20,2749.63,2573.17,
42907,2017-06-21,2659.27,2749.63,
42908,2017-06-22,2671.67,2659.27,
42909,2017-06-23,2707.64,2671.67,
42911,2017-06-25,2472.48,#N/A N/A,
42912,2017-06-26,2347.32,2707.64,
42913,2017-06-27,2457.46,2347.32,
42914,2017-06-28,2593.58,2457.46,
42915,2017-06-29,2558.28,2593.58,
42916,2017-06-30,2502.5,2558.28,
42918,2017-07-02,2497.65,#N/A N/A,
42919,2017-07-03,2557.75,2502.5,
42920,2017-07-04,2575.53,2557.75,
42921,2017-07-05,2611.09,2575.53,
42922,2017-07-06,2597.68,2611.09,
42923,2017-07-07,2514.87,2597.68,
42925,2017-07-09,2527.97,#N/A N/A,
42926,2017-07-10,2384.54,2514.87,
42927,2017-07-11,2328.94,2384.54,
42928,2017-07-12,2382.02,2328.94,
42929,2017-07-13,2337.69,2382.02,
42930,2017-07-14,2159.05,2337.69,
42932,2017-07-16,1865.67,#N/A N/A,
42933,2017-07-17,2174.02,2159.05,
42934,2017-07-18,2348.48,2174.02,
42935,2017-07-19,2255,2348.48,
42936,2017-07-20,2729.32,2255,
42937,2017-07-21,2640.5,2729.32,
42939,2017-07-23,2785,#N/A N/A,
42940,2017-07-24,2760.01,2640.5,
42941,2017-07-25,2468.53,2760.01,
42942,2017-07-26,2503.29,2468.53,
42943,2017-07-27,2583.77,2503.29,
42944,2017-07-28,2755.65,2583.77,
42946,2017-07-30,2717.71,#N/A N/A,
42947,2017-07-31,2886.71,2755.65,
42948,2017-08-01,2740.99,2886.71,
42949,2017-08-02,2691.01,2740.99,
42950,2017-08-03,2781.45,2691.01,
42951,2017-08-04,2832,2781.45,
42953,2017-08-06,3265.55,#N/A N/A,
42954,2017-08-07,3341.29,2832,
42955,2017-08-08,3447.35,3341.29,
42956,2017-08-09,3361.7,3447.35,
42957,2017-08-10,3424.49,3361.7,
42958,2017-08-11,3588.05,3424.49,
42960,2017-08-13,4010.46,#N/A N/A,
42961,2017-08-14,4262.99,3588.05,
42962,2017-08-15,4071.6,4262.99,
42963,2017-08-16,4350.42,4071.6,
42964,2017-08-17,4330.12,4350.42,
42965,2017-08-18,4022.75,4330.12,
42967,2017-08-20,4124.91,#N/A N/A,
42968,2017-08-21,3997.99,4022.75,
42969,2017-08-22,4073.01,3997.99,
42970,2017-08-23,4134.37,4073.01,
42971,2017-08-24,4234,4134.37,
42972,2017-08-25,4329.03,4234,
42974,2017-08-27,4362.85,#N/A N/A,
42975,2017-08-28,4339.74,4329.03,
42976,2017-08-29,4597.02,4339.74,
42977,2017-08-30,4574.99,4597.02,
42978,2017-08-31,4741.39,4574.99,
42979,2017-09-01,4880.85,4741.39,
42981,2017-09-03,4580.98,#N/A N/A,
42982,2017-09-04,4362.08,4880.85,
42983,2017-09-05,4458.44,4362.08,
42984,2017-09-06,4569.25,4458.44,
42985,2017-09-07,4575.48,4569.25,
42986,2017-09-08,4247.55,4575.48,
42988,2017-09-10,4289.22,#N/A N/A,
42989,2017-09-11,4192.47,4247.55,
42990,2017-09-12,4179.95,4192.47,
42991,2017-09-13,3897.95,4179.95,
42992,2017-09-14,3391.25,3897.95,
42993,2017-09-15,3722.68,3391.25,
42995,2017-09-17,3747.8,#N/A N/A,
42996,2017-09-18,4006.56,3722.68,
42997,2017-09-19,3905.56,4006.56,
42998,2017-09-20,3957.01,3905.56,
42999,2017-09-21,3647.5,3957.01,
43000,2017-09-22,3615.1,3647.5,
43002,2017-09-24,3669.78,#N/A N/A,
43003,2017-09-25,3941.31,3615.1,
43004,2017-09-26,3908.25,3941.31,
43005,2017-09-27,4154.27,3908.25,
43006,2017-09-28,4164.5,4154.27,
43007,2017-09-29,4171.25,4164.5,
43009,2017-10-01,4335.84,#N/A N/A,
43010,2017-10-02,4391.34,4171.25,
43011,2017-10-03,4283.49,4391.34,
43012,2017-10-04,4200.44,4283.49,
43013,2017-10-05,4347.1,4200.44,
43014,2017-10-06,4339.4,4347.1,
43016,2017-10-08,4583.01,#N/A N/A,
43017,2017-10-09,4841.19,4339.4,
43018,2017-10-10,4873.1,4841.19,
43019,2017-10-11,4826.85,4873.1,
43020,2017-10-12,5317.43,4826.85,
43021,2017-10-13,5614.64,5317.43,
43023,2017-10-15,5524.56,#N/A N/A,
43024,2017-10-16,5678.73,5614.64,
43025,2017-10-17,5577.3,5678.73,
43026,2017-10-18,5507.01,5577.3,
43027,2017-10-19,5700.17,5507.01,
43028,2017-10-20,5973.19,5700.17,
43030,2017-10-22,5881.65,#N/A N/A,
43031,2017-10-23,5911.12,5973.19,
43032,2017-10-24,5593.52,5911.12,
43033,2017-10-25,5679.54,5593.52,
43034,2017-10-26,5842.24,5679.54,
43035,2017-10-27,5753.71,5842.24,
43037,2017-10-29,6176.91,#N/A N/A,
43038,2017-10-30,6099.6,5753.71,
43039,2017-10-31,6377.45,6099.6,
43040,2017-11-01,6580,6377.45,
43041,2017-11-02,7057.82,6580,
43042,2017-11-03,7228.65,7057.82,
