date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,rho_j,sigma_y,mu_v,SSE_SVCJ,RMSE_SVCJ,n_obs,n_contract,exitflag,elapsed_sec
2022-01-18,-0.00103519853724344,-0.890605367656278,0.00223942664871262,-2.11337803892427,0.00130736022919387,0.0622449403347182,0.0067,0.176443547527118,-1.05920934810745,0.0161223502405443,0.000697503671924061,0.88579441138828,0.00872123672800879,11646,2951,2,504.678296833333
2022-01-19,0.000489138709739863,-0.892943794703262,0.00246941197427648,-2.06499793153689,0.00246029593764341,0.0599544167323143,0.0067,0.0727707865979013,-1.05880001307686,5.28793317462778e-06,0.00139683885721558,1.32878615464369,0.0105706111428355,11892,3010,2,464.241550416667
2022-01-20,-0.000684742344358584,-0.834134453543503,0.00146720494431079,-1.83783137151185,0.0011582736818824,0.0491241527204947,0.0067,0.168278071661823,-1.06455932784978,0.231762726891183,0.0049701884709558,0.885478455503506,0.0068350006671274,18954,4588,2,907.103547958333
2022-01-21,-0.000734562464769702,-0.896664433172531,0.00186854658195809,-2.24873631730312,0.00304352719970485,0.0613395985026004,0.0067,0.31451555879699,-1.0774850497611,3.19835352280134e-08,0.00109267056020624,1.73071534862679,0.00651398294679954,40788,10105,2,1508.10294041667
2022-01-22,-0.00192416292458579,-0.871070941724505,0.00249883567985731,-2.0995306543181,0.00241154838210174,0.0554029893913896,0.0067,0.263114955379911,-0.765577803376111,0.0155181795831114,0.0255209261651235,3.12019821449364,0.00977304320097039,32668,7977,2,1708.23569858333
2022-01-23,-0.000474622927043668,-0.89003490815126,0.00208071313868855,-1.98114833434199,0.00235760027743185,0.0526086917365092,0.0067,0.119663397060617,-1.05877675028452,0.241027467547189,2.59417820017955e-06,1.59379939031303,0.00956489678265448,17421,4291,2,923.814347333333
2022-01-24,0.00081399242527567,-0.865565490886585,0.00198759195070814,-2.10261464332644,0.00408472699105881,0.0574996410681129,0.0067,0.0810620400595014,-0.134551659586786,0.057578730205254,0.00755767519788996,2.14900236393029,0.00734084944073604,39879,9527,2,1682.41148375
2022-01-25,0.000534589923449335,-0.892200065486644,0.00260525997143542,-2.06609853475099,0.00249996388646562,0.0603595178237634,0.0067,0.101006303141913,-1.05879999999993,0.0212007763879646,1.71500935855239e-06,2.42613540407304,0.0102356722200248,23157,5904,2,615.518940208333
2022-01-26,0.000348468412862422,-0.900119988579592,0.0030812217510513,-2.22911855518598,0.00260489053776669,0.0750299068044766,0.0067,0.0304313882813395,-1.05881424158498,0.127135849853459,2.13691408442905e-06,0.894095433333615,0.00545895604406295,30003,7594,2,1279.60365383333
2022-01-27,-0.00144064121291407,-0.859952724585812,0.00230265215471288,-2.20460197686724,0.00100066664112417,0.0591896171134208,0.0067,0.258067881979344,-1.05796339606954,0.0939513632264265,0.000477846854212627,0.585260022744174,0.00554539153850002,19032,4759,2,886.754418166667
2022-01-28,-0.000441289986137767,-0.900492276339005,0.00188826968048444,-2.19776683151542,0.000637693931936867,0.0591704395332367,0.0067,0.260729216259252,-1.05475562049575,0.00279734859679087,0.00389661227560933,1.83448484537593,0.0095222078291889,20232,5143,2,1079.86347320833
2022-01-29,0.00033847624017101,-0.913250711797967,0.00226506223273964,-1.96408832933359,0.00106317958030408,0.0579894863444811,0.0067,0.0732434225705364,-1.05887029098853,0.0238505530363507,0.000117764112669585,0.43502945501721,0.00623929565675227,11175,2872,2,230.780597041667
